Booking_ID,Booking_Date,Customer_ID,Customer_Name,Age,Gender,City,Travel_Type,Origin,Destination,Departure_Date,Return_Date,Passengers,Channel,Agent,Package_Type,Base_Price,Discount,Total_Amount,Payment_Mode,Booking_Status,Rating
BKG00018,2024-02-21,CUST2291,Customer_3582,56,Male,Mumbai,Round-trip,Mumbai,Udaipur,2024-02-23,2024-02-27,1,Online,SaiRam Travels,Premium,3636,951,2685,UPI,Completed,1.0
BKG00019,2024-01-02,CUST5737,Customer_855,54,Male,Ahmedabad,Package,Ahmedabad,Manali,2024-02-03,2024-02-05,1,Online,Sangitam Travels,None,13666,1153,12513,Card,Completed,2.0
BKG00020,2024-06-08,CUST6535,Customer_4932,28,Female,Kolkata,Package,Kolkata,Jaipur,2024-08-03,2024-08-07,1,Agent,Sangitam Travels,Luxury,10958,293,10665,Netbanking,Completed,4.0
BKG00021,2024-04-07,CUST1197,Customer_1931,33,Female,Ahmedabad,Round-trip,Ahmedabad,Ooty,2024-05-10,2024-05-12,4,Online,Sangitam Travels,Premium,6282,1349,19732,UPI,Completed,3.0
BKG00022,2024-05-27,CUST3811,Customer_1370,20,Female,Pune,Package,Pune,Agra,2024-06-15,2024-06-20,4,Online,Sangitam Travels,Budget,10680,928,39008,UPI,Completed,2.0
BKG00023,2024-12-25,CUST5736,Customer_1803,45,Male,Bangalore,One-way,Bangalore,Manali,2025-02-20,,1,Offline,SaiRam Travels,Premium,7534,1321,6213,Cash,Completed,4.0
BKG00024,2024-05-23,CUST9815,Customer_1017,19,Female,Bangalore,One-way,Bangalore,Ooty,2024-05-24,,4,Agent,Wagh Tours,Premium,6548,1060,21952,Netbanking,Cancelled,
BKG00025,2024-01-09,CUST8400,Customer_3171,36,Female,Bangalore,One-way,Bangalore,Manali,2024-02-26,,3,Agent,Wagh Tours,Luxury,6499,151,19044,Netbanking,Completed,1.0
BKG00026,2025-02-11,CUST2648,Customer_1446,57,Female,Ahmedabad,Package,Ahmedabad,Goa,2025-03-03,2025-03-10,3,Agent,SaiRam Travels,Budget,13375,509,38598,Netbanking,Cancelled,
BKG00027,2024-06-01,CUST3961,Customer_4974,35,Female,Mumbai,One-way,Mumbai,Jaipur,2024-06-03,,3,Online,Wagh Tours,Premium,13983,956,39081,Netbanking,Completed,1.0
BKG00028,2024-03-08,CUST7944,Customer_4494,38,Male,Hyderabad,One-way,Hyderabad,Rishikesh,2024-04-25,,4,Online,Wagh Tours,Budget,11719,1415,41216,UPI,Completed,1.0
BKG00029,2024-05-07,CUST5555,Customer_955,39,Male,Mumbai,One-way,Mumbai,Jaipur,2024-07-01,,5,Offline,Wagh Tours,None,10754,437,51585,Card,Cancelled,
BKG00030,2024-01-27,CUST1225,Customer_4894,50,Female,Pune,Round-trip,Pune,Shimla,2024-02-24,2024-03-03,1,Online,Wagh Tours,Luxury,14740,1019,13721,Netbanking,Completed,3.0
BKG00031,2024-01-04,CUST5642,Customer_3121,34,Female,Kolkata,Package,Kolkata,Ooty,2024-02-17,2024-02-22,5,Agent,Wagh Tours,Premium,3069,1396,8365,Card,Cancelled,
BKG00032,2025-01-14,CUST2060,Customer_2328,46,Female,Bangalore,Package,Bangalore,Goa,2025-03-04,2025-03-11,5,Agent,SaiRam Travels,Luxury,2606,1122,7420,UPI,Cancelled,
BKG00033,2024-04-25,CUST1190,Customer_2301,38,Male,Ahmedabad,Package,Ahmedabad,Ooty,2024-05-27,2024-06-04,1,Online,SaiRam Travels,Budget,5327,1346,3981,Card,Completed,1.0
BKG00034,2024-08-10,CUST7709,Customer_570,20,Male,Mumbai,Round-trip,Mumbai,Jaipur,2024-09-19,2024-09-26,2,Online,Sangitam Travels,Budget,9455,853,17204,UPI,Completed,3.0
BKG00035,2025-01-20,CUST1784,Customer_3176,50,Female,Chennai,One-way,Chennai,Kerala,2025-01-29,,3,Agent,BlueSky Travels,Premium,14533,1199,40002,Cash,Completed,2.0
BKG00036,2024-09-03,CUST1537,Customer_1842,42,Female,Delhi,Round-trip,Delhi,Kerala,2024-09-27,2024-10-03,4,Offline,SaiRam Travels,Budget,7625,902,26892,Netbanking,Completed,5.0
BKG00037,2024-01-20,CUST3368,Customer_3848,63,Male,Mumbai,One-way,Mumbai,Ooty,2024-02-05,,4,Agent,BlueSky Travels,Premium,8002,470,30128,Cash,Completed,2.0
BKG00038,2024-11-17,CUST6919,Customer_2775,39,Male,Bangalore,Round-trip,Bangalore,Udaipur,2025-01-07,2025-01-09,2,Online,Wagh Tours,Luxury,2574,1213,2722,UPI,Completed,2.0
BKG00039,2024-02-27,CUST8509,Customer_1716,59,Female,Mumbai,Round-trip,Mumbai,Shimla,2024-03-04,2024-03-12,3,Online,SaiRam Travels,Premium,4491,612,11637,Cash,Completed,5.0
BKG00040,2024-02-29,CUST4051,Customer_5,56,Female,Bangalore,One-way,Bangalore,Udaipur,2024-03-04,,5,Agent,BlueSky Travels,None,11183,883,51500,Cash,Completed,3.0
BKG00041,2024-11-06,CUST8079,Customer_4365,59,Male,Mumbai,Round-trip,Mumbai,Darjeeling,2024-12-06,2024-12-10,1,Online,SaiRam Travels,Luxury,10311,830,9481,Card,Completed,2.0
BKG00042,2025-03-14,CUST9932,Customer_117,40,Female,Delhi,Package,Delhi,Rishikesh,2025-03-23,2025-03-28,5,Agent,Wagh Tours,Budget,3664,1081,12915,UPI,Cancelled,
BKG00043,2024-08-26,CUST8805,Customer_560,42,Male,Delhi,One-way,Delhi,Ooty,2024-10-05,,5,Offline,Sangitam Travels,None,5343,1212,20655,Card,Completed,5.0
BKG00044,2024-10-04,CUST8004,Customer_2295,20,Male,Hyderabad,One-way,Hyderabad,Udaipur,2024-10-16,,2,Offline,Sangitam Travels,Premium,3679,1458,4442,UPI,Completed,1.0
BKG00045,2024-10-11,CUST6188,Customer_3119,47,Female,Kolkata,Package,Kolkata,Agra,2024-11-26,2024-12-03,4,Online,Sangitam Travels,Premium,14740,1227,54052,Card,Completed,2.0
BKG00046,2025-03-07,CUST7484,Customer_4647,53,Female,Pune,Package,Pune,Shimla,2025-04-09,2025-04-16,5,Offline,Wagh Tours,Premium,12262,521,58705,Cash,Cancelled,
BKG00047,2024-04-09,CUST3849,Customer_3252,48,Male,Mumbai,One-way,Mumbai,Darjeeling,2024-04-19,,2,Offline,Sangitam Travels,Premium,13922,441,26962,Netbanking,Completed,5.0
BKG00048,2024-01-04,CUST3839,Customer_336,19,Female,Hyderabad,One-way,Hyderabad,Jaipur,2024-02-22,,4,Online,Sangitam Travels,None,11087,159,43712,Cash,Cancelled,
BKG00049,2024-05-31,CUST7833,Customer_3747,50,Female,Mumbai,Round-trip,Mumbai,Kerala,2024-07-03,2024-07-09,3,Agent,Wagh Tours,Luxury,13690,1291,37197,UPI,Completed,1.0
BKG00050,2024-06-16,CUST4913,Customer_1067,61,Male,Hyderabad,Package,Hyderabad,Shimla,2024-07-15,2024-07-21,4,Offline,SaiRam Travels,Budget,7726,1325,25604,Netbanking,Completed,3.0
BKG00051,2024-08-29,CUST3082,Customer_2775,34,Female,Chennai,Package,Chennai,Darjeeling,2024-09-24,2024-10-03,5,Agent,SaiRam Travels,None,11817,1021,53980,Card,Completed,1.0
BKG00052,2025-01-25,CUST4267,Customer_826,62,Female,Pune,One-way,Pune,Darjeeling,2025-02-05,,5,Agent,Sangitam Travels,Luxury,9543,1443,40500,Netbanking,Completed,5.0
BKG00053,2024-09-05,CUST9867,Customer_3466,54,Male,Chennai,Round-trip,Chennai,Agra,2024-09-14,2024-09-23,3,Agent,SaiRam Travels,Luxury,3122,977,6435,Cash,Completed,5.0
BKG00054,2024-09-24,CUST4440,Customer_3767,30,Female,Chennai,Package,Chennai,Darjeeling,2024-10-17,2024-10-19,3,Offline,Sangitam Travels,Premium,6968,1296,17016,Netbanking,Completed,4.0
BKG00055,2025-01-02,CUST1728,Customer_1366,30,Female,Delhi,Package,Delhi,Agra,2025-03-02,2025-03-06,1,Offline,Wagh Tours,Budget,2395,444,1951,Cash,Cancelled,
BKG00056,2024-03-16,CUST5360,Customer_2503,45,Female,Bangalore,Package,Bangalore,Darjeeling,2024-03-30,2024-04-07,4,Agent,BlueSky Travels,None,6946,1390,22224,Netbanking,Completed,5.0
BKG00057,2024-04-08,CUST5491,Customer_2939,38,Female,Bangalore,Round-trip,Bangalore,Ooty,2024-05-14,2024-05-20,1,Agent,Sangitam Travels,Budget,3062,108,2954,Cash,Cancelled,
BKG00058,2024-07-04,CUST7541,Customer_3295,22,Female,Mumbai,Package,Mumbai,Jaipur,2024-08-08,2024-08-16,5,Offline,Sangitam Travels,Premium,6330,657,28365,Card,Cancelled,
BKG00059,2024-01-09,CUST8241,Customer_954,61,Male,Pune,Round-trip,Pune,Jaipur,2024-01-26,2024-02-01,5,Agent,SaiRam Travels,None,3191,169,15110,Netbanking,Completed,3.0
BKG00060,2024-05-01,CUST2540,Customer_3237,55,Male,Kolkata,Round-trip,Kolkata,Rishikesh,2024-05-20,2024-05-29,5,Online,Sangitam Travels,Budget,12048,1365,53415,UPI,Completed,1.0
BKG00061,2024-10-27,CUST4141,Customer_3487,36,Female,Bangalore,Package,Bangalore,Shimla,2024-12-10,2024-12-17,3,Agent,Wagh Tours,Budget,10905,38,32601,Card,Completed,5.0
BKG00062,2024-05-20,CUST5849,Customer_1244,37,Male,Ahmedabad,Round-trip,Ahmedabad,Shimla,2024-06-17,2024-06-26,5,Agent,BlueSky Travels,None,11086,1384,48510,Netbanking,Completed,3.0
BKG00063,2024-12-13,CUST1504,Customer_1215,42,Female,Delhi,Round-trip,Delhi,Rishikesh,2025-02-07,2025-02-09,5,Offline,Sangitam Travels,Luxury,2133,57,10380,Netbanking,Completed,5.0
BKG00064,2024-11-12,CUST5910,Customer_4176,38,Male,Hyderabad,One-way,Hyderabad,Rishikesh,2024-11-23,,4,Agent,BlueSky Travels,Premium,7348,1250,24392,Cash,Completed,1.0
BKG00065,2025-02-05,CUST7190,Customer_1257,31,Female,Chennai,One-way,Chennai,Ooty,2025-02-20,,1,Online,Sangitam Travels,Premium,11588,1282,10306,Netbanking,Cancelled,
BKG00066,2025-03-16,CUST8114,Customer_1354,49,Male,Bangalore,Round-trip,Bangalore,Manali,2025-04-01,2025-04-10,4,Offline,BlueSky Travels,None,9575,667,35632,Netbanking,Completed,2.0
BKG00067,2024-12-13,CUST7819,Customer_4186,25,Male,Bangalore,Round-trip,Bangalore,Darjeeling,2025-02-09,2025-02-14,2,Agent,SaiRam Travels,None,2539,731,3616,Netbanking,Completed,4.0
BKG00068,2024-07-10,CUST7042,Customer_2509,45,Male,Chennai,Round-trip,Chennai,Kerala,2024-08-27,2024-09-02,5,Offline,Sangitam Travels,None,3581,1276,11525,Card,Cancelled,
BKG00069,2025-01-05,CUST1255,Customer_4805,64,Female,Kolkata,One-way,Kolkata,Rishikesh,2025-01-30,,2,Offline,BlueSky Travels,None,2009,823,2372,Card,Cancelled,
BKG00070,2024-09-07,CUST6124,Customer_1016,50,Female,Delhi,Package,Delhi,Agra,2024-10-31,2024-11-02,2,Online,Wagh Tours,Budget,10415,1262,18306,UPI,Completed,5.0
BKG00071,2024-10-08,CUST5158,Customer_3926,44,Female,Delhi,One-way,Delhi,Rishikesh,2024-11-26,,5,Online,BlueSky Travels,None,6000,104,29480,Cash,Completed,1.0
BKG00072,2025-02-08,CUST9175,Customer_4614,45,Male,Ahmedabad,Round-trip,Ahmedabad,Udaipur,2025-02-25,2025-03-03,5,Offline,BlueSky Travels,None,7989,770,36095,Cash,Completed,5.0
BKG00073,2024-02-22,CUST5809,Customer_4179,34,Male,Ahmedabad,Package,Ahmedabad,Goa,2024-03-14,2024-03-21,1,Agent,SaiRam Travels,Luxury,7997,0,7997,Card,Cancelled,
BKG00074,2024-07-23,CUST8939,Customer_4545,57,Male,Pune,One-way,Pune,Goa,2024-08-24,,2,Online,SaiRam Travels,Premium,5419,94,10650,Card,Completed,2.0
BKG00075,2024-09-06,CUST9865,Customer_4534,20,Male,Ahmedabad,Package,Ahmedabad,Manali,2024-11-04,2024-11-07,4,Online,Wagh Tours,Luxury,12176,1077,44396,Cash,Cancelled,
BKG00076,2024-08-09,CUST5858,Customer_1849,34,Male,Mumbai,Round-trip,Mumbai,Shimla,2024-09-26,2024-10-04,5,Online,SaiRam Travels,Luxury,8996,577,42095,Netbanking,Completed,4.0
BKG00077,2024-08-13,CUST7949,Customer_1330,51,Female,Bangalore,Package,Bangalore,Manali,2024-08-31,2024-09-07,3,Agent,Sangitam Travels,Budget,12674,446,36684,Cash,Completed,1.0
BKG00078,2024-06-14,CUST8648,Customer_1359,47,Male,Pune,Package,Pune,Udaipur,2024-08-08,2024-08-11,3,Offline,BlueSky Travels,Budget,12320,132,36564,Cash,Completed,2.0
BKG00079,2024-07-02,CUST4472,Customer_2833,37,Male,Kolkata,One-way,Kolkata,Rishikesh,2024-07-26,,5,Offline,BlueSky Travels,None,12785,52,63665,Card,Completed,3.0
BKG00080,2024-02-12,CUST2906,Customer_761,40,Female,Delhi,Package,Delhi,Ooty,2024-04-07,2024-04-16,3,Offline,Wagh Tours,None,13637,899,38214,Netbanking,Completed,1.0
BKG00081,2024-07-13,CUST2887,Customer_3267,44,Female,Chennai,One-way,Chennai,Jaipur,2024-08-11,,2,Offline,Wagh Tours,Premium,14348,633,27430,Netbanking,Completed,5.0
BKG00082,2024-01-05,CUST6585,Customer_4700,59,Female,Chennai,Round-trip,Chennai,Goa,2024-01-27,2024-02-02,1,Offline,Sangitam Travels,None,8376,523,7853,Card,Completed,2.0
BKG00083,2025-03-08,CUST8240,Customer_2297,64,Female,Hyderabad,Round-trip,Hyderabad,Udaipur,2025-05-04,2025-05-11,3,Agent,BlueSky Travels,Budget,4878,47,14493,Card,Completed,2.0
BKG00084,2024-10-18,CUST2276,Customer_2767,64,Male,Bangalore,Round-trip,Bangalore,Darjeeling,2024-12-13,2024-12-20,2,Agent,Sangitam Travels,None,14315,77,28476,Netbanking,Completed,5.0
BKG00085,2024-06-02,CUST5621,Customer_4979,24,Female,Pune,Round-trip,Pune,Manali,2024-06-05,2024-06-13,3,Online,Wagh Tours,Premium,7870,1297,19719,Cash,Completed,3.0
BKG00086,2025-01-05,CUST4086,Customer_4581,45,Female,Ahmedabad,Package,Ahmedabad,Ooty,2025-01-15,2025-01-23,1,Offline,Wagh Tours,Luxury,3296,1254,2042,Cash,Completed,4.0
BKG00087,2024-01-25,CUST7288,Customer_3597,37,Female,Hyderabad,Round-trip,Hyderabad,Kerala,2024-02-19,2024-02-24,2,Online,SaiRam Travels,Premium,10258,232,20052,Cash,Completed,4.0
BKG00088,2024-04-20,CUST8943,Customer_4008,61,Male,Delhi,One-way,Delhi,Jaipur,2024-05-09,,2,Agent,Wagh Tours,Luxury,4472,612,7720,Cash,Completed,2.0
BKG00089,2024-11-15,CUST2761,Customer_3515,62,Male,Bangalore,One-way,Bangalore,Kerala,2024-11-21,,5,Offline,Sangitam Travels,Luxury,13640,1312,61640,UPI,Completed,5.0
BKG00090,2024-07-16,CUST2605,Customer_2564,47,Male,Hyderabad,One-way,Hyderabad,Goa,2024-07-27,,1,Agent,BlueSky Travels,Premium,10434,542,9892,Netbanking,Completed,4.0
BKG00091,2025-02-11,CUST6342,Customer_6,19,Male,Pune,Round-trip,Pune,Agra,2025-03-03,2025-03-08,3,Offline,Wagh Tours,None,10195,645,28650,Cash,Cancelled,
BKG00092,2024-04-03,CUST3551,Customer_4290,32,Male,Pune,Round-trip,Pune,Kerala,2024-04-14,2024-04-23,2,Online,SaiRam Travels,None,8316,1323,13986,Netbanking,Completed,2.0
BKG00093,2024-04-27,CUST9915,Customer_225,37,Male,Pune,One-way,Pune,Shimla,2024-06-15,,4,Agent,BlueSky Travels,Budget,14846,0,59384,Card,Completed,5.0
BKG00094,2025-01-16,CUST5234,Customer_2027,20,Male,Kolkata,Package,Kolkata,Agra,2025-02-18,2025-02-25,2,Agent,Sangitam Travels,None,12231,9,24444,Netbanking,Completed,2.0
BKG00095,2024-06-20,CUST8041,Customer_2061,57,Female,Hyderabad,Round-trip,Hyderabad,Agra,2024-06-22,2024-06-27,1,Offline,SaiRam Travels,Budget,3342,328,3014,Card,Completed,3.0
BKG00096,2025-02-02,CUST4490,Customer_3678,48,Male,Hyderabad,One-way,Hyderabad,Manali,2025-03-23,,5,Online,Sangitam Travels,Budget,14219,235,69920,Card,Completed,5.0
BKG00097,2025-01-10,CUST4530,Customer_2636,52,Male,Kolkata,Package,Kolkata,Rishikesh,2025-02-14,2025-02-16,4,Agent,Wagh Tours,Luxury,7951,1372,26316,UPI,Completed,1.0
BKG00098,2024-08-16,CUST7413,Customer_1315,38,Male,Hyderabad,Package,Hyderabad,Kerala,2024-09-22,2024-09-28,3,Offline,SaiRam Travels,Premium,9546,77,28407,Cash,Completed,4.0
BKG00099,2024-03-29,CUST2065,Customer_2137,35,Male,Kolkata,Package,Kolkata,Manali,2024-05-08,2024-05-17,3,Online,Sangitam Travels,Luxury,9804,421,28149,Card,Completed,1.0
BKG00100,2024-06-01,CUST3192,Customer_1249,64,Male,Pune,Round-trip,Pune,Shimla,2024-07-26,2024-07-29,5,Agent,BlueSky Travels,None,5687,103,27920,UPI,Completed,3.0
BKG00101,2024-07-16,CUST6765,Customer_2627,24,Female,Hyderabad,Round-trip,Hyderabad,Darjeeling,2024-09-05,2024-09-14,2,Agent,Wagh Tours,None,7567,1038,13058,UPI,Cancelled,
BKG00102,2024-10-15,CUST9669,Customer_1255,44,Male,Kolkata,Package,Kolkata,Udaipur,2024-11-20,2024-11-26,1,Offline,SaiRam Travels,Budget,3120,1020,2100,Card,Completed,1.0
BKG00103,2024-09-10,CUST3243,Customer_2646,19,Male,Hyderabad,One-way,Hyderabad,Agra,2024-09-20,,5,Online,Wagh Tours,None,3865,864,15005,Cash,Completed,5.0
BKG00104,2024-06-07,CUST7371,Customer_3229,25,Male,Kolkata,One-way,Kolkata,Rishikesh,2024-06-12,,5,Offline,BlueSky Travels,None,4371,843,17640,Cash,Completed,3.0
BKG00105,2024-04-04,CUST3674,Customer_1956,53,Female,Mumbai,Round-trip,Mumbai,Shimla,2024-04-30,2024-05-04,3,Offline,Wagh Tours,Luxury,4116,10,12318,Netbanking,Cancelled,
BKG00106,2024-12-25,CUST7166,Customer_815,43,Male,Ahmedabad,Round-trip,Ahmedabad,Manali,2025-02-09,2025-02-13,4,Offline,BlueSky Travels,Budget,12457,140,49268,Netbanking,Completed,2.0
BKG00107,2024-04-20,CUST1827,Customer_2731,29,Male,Ahmedabad,One-way,Ahmedabad,Darjeeling,2024-06-03,,4,Online,BlueSky Travels,None,13127,126,52004,Netbanking,Completed,4.0
BKG00108,2024-10-13,CUST7024,Customer_4147,46,Male,Bangalore,Package,Bangalore,Kerala,2024-10-27,2024-11-05,1,Online,BlueSky Travels,None,5797,778,5019,Netbanking,Completed,5.0
BKG00109,2025-02-08,CUST4417,Customer_1646,53,Male,Pune,One-way,Pune,Agra,2025-04-03,,1,Agent,Sangitam Travels,Luxury,5072,566,4506,UPI,Completed,5.0
BKG00110,2025-03-06,CUST8112,Customer_1333,26,Female,Mumbai,One-way,Mumbai,Jaipur,2025-03-16,,4,Offline,SaiRam Travels,Premium,8456,116,33360,Netbanking,Completed,3.0
BKG00111,2024-03-03,CUST1536,Customer_1626,28,Female,Hyderabad,Round-trip,Hyderabad,Darjeeling,2024-04-10,2024-04-13,2,Offline,Sangitam Travels,None,10666,417,20498,Card,Cancelled,
BKG00112,2024-05-07,CUST5971,Customer_4859,41,Female,Bangalore,Package,Bangalore,Agra,2024-06-01,2024-06-09,4,Agent,Sangitam Travels,Budget,14997,1184,55252,Cash,Completed,3.0
BKG00113,2024-05-29,CUST3713,Customer_2204,38,Female,Chennai,Round-trip,Chennai,Ooty,2024-07-17,2024-07-25,1,Online,BlueSky Travels,Luxury,5432,688,4744,Netbanking,Completed,4.0
BKG00114,2024-03-03,CUST7704,Customer_4423,18,Male,Ahmedabad,Round-trip,Ahmedabad,Ooty,2024-04-04,2024-04-10,3,Offline,BlueSky Travels,None,10058,951,27321,Netbanking,Cancelled,
BKG00115,2024-02-01,CUST3717,Customer_2333,62,Female,Bangalore,Package,Bangalore,Jaipur,2024-03-01,2024-03-08,3,Offline,Sangitam Travels,None,4065,768,9891,UPI,Completed,2.0
BKG00116,2024-07-12,CUST7645,Customer_2162,47,Female,Ahmedabad,Round-trip,Ahmedabad,Darjeeling,2024-08-19,2024-08-23,4,Agent,Sangitam Travels,None,8016,1287,26916,UPI,Cancelled,
BKG00117,2024-12-24,CUST5873,Customer_1482,36,Male,Chennai,Round-trip,Chennai,Manali,2025-02-08,2025-02-11,4,Online,Wagh Tours,Budget,14256,86,56680,Card,Cancelled,
BKG00118,2024-10-14,CUST4462,Customer_3080,18,Female,Delhi,Round-trip,Delhi,Manali,2024-12-10,2024-12-18,3,Offline,BlueSky Travels,None,12682,327,37065,UPI,Completed,5.0
BKG00119,2024-03-07,CUST8218,Customer_3676,64,Female,Kolkata,Package,Kolkata,Udaipur,2024-03-15,2024-03-18,3,Agent,Wagh Tours,Budget,4143,1111,9096,UPI,Completed,3.0
BKG00120,2025-02-03,CUST5547,Customer_165,38,Male,Hyderabad,Package,Hyderabad,Jaipur,2025-02-17,2025-02-25,2,Online,Wagh Tours,Budget,8150,329,15642,UPI,Completed,5.0
BKG00121,2024-05-26,CUST4695,Customer_3453,36,Female,Delhi,One-way,Delhi,Kerala,2024-07-01,,5,Online,BlueSky Travels,Budget,6177,513,28320,Cash,Cancelled,
BKG00122,2024-07-15,CUST7035,Customer_3595,59,Female,Chennai,One-way,Chennai,Darjeeling,2024-07-17,,3,Online,Wagh Tours,Premium,6566,1142,16272,Card,Completed,5.0
BKG00123,2024-10-19,CUST2279,Customer_3578,39,Male,Mumbai,Round-trip,Mumbai,Agra,2024-12-02,2024-12-11,1,Agent,Sangitam Travels,None,12953,1181,11772,Card,Completed,1.0
BKG00124,2025-01-04,CUST4186,Customer_3281,31,Male,Ahmedabad,Round-trip,Ahmedabad,Kerala,2025-01-13,2025-01-22,2,Offline,SaiRam Travels,None,10428,1304,18248,Cash,Completed,3.0
BKG00125,2024-01-04,CUST7809,Customer_442,46,Male,Mumbai,Round-trip,Mumbai,Rishikesh,2024-02-18,2024-02-21,5,Agent,BlueSky Travels,None,2074,837,6185,Cash,Cancelled,
BKG00126,2024-12-06,CUST6475,Customer_41,55,Female,Hyderabad,Round-trip,Hyderabad,Jaipur,2025-01-09,2025-01-11,5,Offline,SaiRam Travels,Premium,9141,1401,38700,Netbanking,Completed,5.0
BKG00127,2024-12-27,CUST1341,Customer_4053,44,Female,Hyderabad,One-way,Hyderabad,Kerala,2025-02-22,,3,Agent,Wagh Tours,Luxury,6263,609,16962,UPI,Completed,1.0
BKG00128,2024-11-04,CUST9646,Customer_2954,62,Male,Ahmedabad,One-way,Ahmedabad,Kerala,2024-11-21,,2,Agent,BlueSky Travels,Premium,5028,1499,7058,Card,Completed,2.0
BKG00129,2024-11-05,CUST2386,Customer_3777,53,Female,Delhi,Package,Delhi,Manali,2024-12-26,2024-12-29,5,Agent,SaiRam Travels,Luxury,10340,1319,45105,Netbanking,Completed,4.0
BKG00130,2024-04-22,CUST9378,Customer_2855,57,Male,Chennai,One-way,Chennai,Shimla,2024-05-27,,2,Offline,BlueSky Travels,None,6150,622,11056,Card,Cancelled,
BKG00131,2025-02-09,CUST7212,Customer_1786,53,Male,Delhi,Round-trip,Delhi,Ooty,2025-03-28,2025-04-02,3,Agent,BlueSky Travels,Premium,3762,1267,7485,Cash,Completed,3.0
BKG00132,2024-12-30,CUST7122,Customer_482,26,Female,Hyderabad,One-way,Hyderabad,Udaipur,2025-01-25,,2,Offline,SaiRam Travels,Premium,3524,72,6904,Card,Completed,1.0
BKG00133,2024-05-08,CUST2240,Customer_61,60,Female,Chennai,Round-trip,Chennai,Manali,2024-06-17,2024-06-20,1,Online,BlueSky Travels,Budget,9970,130,9840,Netbanking,Completed,4.0
